"classes","sdg1_weight","sdg2_weight","sdg3_weight","sdg4_weight","sdg5_weight","sdg6_weight","sdg7_weight","sdg8_weight","sdg9_weight","sdg10_weight","sdg11_weight","sdg12_weight","sdg13_weight","sdg14_weight","sdg15_weight","sdg16_weight","sdg17_weight","total_weight"
"CMGT-501",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,1,1.35
"CMGT-502",NA,NA,NA,NA,NA,NA,NA,NA,1.66,NA,NA,NA,NA,NA,NA,NA,NA,1.66
"CMGT-503",0.4,NA,NA,NA,NA,NA,NA,0.33,0.7,NA,NA,NA,0.39,NA,NA,NA,1,2.82
"CMGT-505",0.9,NA,NA,NA,NA,NA,NA,NA,2.64,NA,NA,NA,NA,NA,NA,NA,NA,3.54
"CMGT-506",0.9,NA,NA,NA,NA,NA,NA,NA,0.35,NA,0.49,NA,NA,NA,NA,NA,NA,1.74
"CMGT-507",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0.35
"CMGT-508",0.05,NA,NA,NA,NA,NA,NA,0.98,1.53,NA,NA,NA,0.39,NA,NA,NA,NA,2.95
"CMGT-510",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,0.39,NA,NA,NA,1,1.74
"CMGT-520",0.9,NA,NA,NA,NA,NA,0.79,NA,0.63,NA,0.11,NA,NA,NA,NA,1.14,NA,3.57
"CMGT-528",NA,NA,NA,NA,NA,NA,NA,0.66,2.11,NA,NA,NA,0.26,NA,NA,NA,NA,3.03
"CMGT-529",0.9,NA,NA,NA,NA,NA,NA,0.33,6.28,NA,NA,NA,0.26,NA,NA,NA,NA,7.77
"CMGT-530",1.03,NA,NA,NA,NA,NA,NA,NA,3.48,NA,0.72,NA,NA,NA,NA,NA,NA,5.23
"CMGT-531",1.3,NA,NA,NA,NA,NA,NA,6.57,3.64,NA,NA,NA,0.26,NA,NA,1.03,NA,12.8
"CMGT-537",0.9,NA,NA,0.4,NA,NA,NA,NA,6.19,NA,1.71,NA,NA,NA,NA,NA,NA,9.2
"CMGT-540",NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NA,NA,NA,1,1.63
"CMGT-541",0.05,NA,NA,NA,NA,NA,NA,0.16,1.19,NA,NA,NA,NA,NA,NA,NA,NA,1.4
"CMGT-542",NA,NA,NA,NA,NA,NA,NA,1.15,4.84,NA,NA,NA,NA,NA,NA,NA,NA,5.99
"CMGT-544",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0.35
"CMGT-549",0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33
"CMGT-552",0.36,NA,NA,10.72,NA,NA,NA,NA,0.76,NA,0.49,NA,NA,NA,NA,NA,NA,12.33
"CMGT-553",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,1,1.35
"CMGT-554",NA,NA,NA,NA,NA,NA,NA,NA,2.01,NA,NA,NA,NA,NA,NA,NA,NA,2.01
"CMGT-555",0.9,NA,NA,NA,NA,NA,NA,0.59,1.64,NA,NA,NA,NA,NA,NA,NA,1,4.13
"CMGT-556",NA,NA,NA,NA,NA,NA,NA,0.74,0.63,NA,NA,0.72,0.26,NA,0.57,NA,NA,2.92
"CMGT-558",NA,NA,NA,NA,NA,NA,NA,0.33,4.06,NA,NA,NA,0.26,NA,NA,NA,NA,4.65
"CMGT-559",NA,NA,NA,NA,NA,NA,NA,0.33,2.73,NA,NA,NA,0.26,NA,NA,NA,NA,3.32
"CMGT-576",NA,NA,NA,NA,NA,NA,NA,NA,1.73,NA,0.11,NA,NA,NA,NA,0.11,NA,1.95
"CMGT-578",NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.44,0.41,NA,NA,NA,NA,0.59,NA,2.14
"CMGT-580",0.76,NA,NA,NA,NA,NA,NA,2.89,1.05,NA,NA,NA,0.26,NA,NA,1.03,1,6.99
"CMGT-581",4.61,NA,NA,NA,NA,NA,NA,NA,1.11,NA,0.11,NA,NA,NA,NA,0.11,1,6.94
"CMGT-582",NA,NA,NA,0.13,NA,NA,NA,0.59,2.85,NA,0.33,NA,NA,NA,0.14,NA,1,5.04
"CMGT-583",1.26,NA,NA,10.72,0.41,NA,NA,NA,0.83,0.8,NA,NA,NA,NA,NA,8.75,NA,22.77
"CMGT-584",0.58,NA,NA,NA,12.84,NA,NA,0.16,0.35,1.68,1.14,NA,0.06,NA,NA,4.1,NA,20.91
"CMGT-586",1.03,NA,NA,NA,NA,NA,NA,NA,3.55,NA,NA,NA,NA,NA,NA,NA,1,5.58
"CMGT-587",NA,NA,NA,NA,NA,NA,NA,0.66,NA,NA,NA,NA,0.26,NA,NA,NA,1,1.92
"CMGT-588",0.37,NA,NA,NA,NA,NA,0.79,0.33,NA,NA,0.49,NA,0.26,NA,NA,NA,NA,2.24
"CMGT-590",NA,NA,NA,4.91,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,1,6.39
"CMGT-591",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0.35
"CMGT-597A",NA,0.71,NA,NA,NA,NA,NA,1.39,1.18,0.44,NA,NA,NA,NA,NA,NA,3,6.72
"CMGT-597B",NA,0.71,NA,NA,NA,NA,NA,1.39,1.18,0.44,NA,NA,NA,NA,NA,NA,3,6.72
"CMPP-541A",NA,NA,NA,NA,NA,NA,NA,1.39,0.35,0.44,NA,NA,NA,NA,NA,NA,NA,2.18
"CMPP-541B",NA,NA,NA,NA,NA,NA,NA,1.39,0.7,0.44,NA,NA,NA,NA,NA,NA,NA,2.53
"CMPP-548",NA,NA,NA,NA,NA,NA,NA,0.82,0.83,NA,NA,NA,NA,NA,NA,NA,NA,1.65
"CMPP-550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CMPP-560",NA,NA,NA,NA,NA,NA,NA,0.59,0.42,NA,NA,NA,NA,NA,NA,NA,1,2.01
"CMPP-561",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0.35
"CMPP-563",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0.35
"CMPP-564",NA,0.21,NA,NA,NA,0.07,NA,NA,NA,NA,0.16,0.14,NA,NA,0.29,NA,NA,0.87
"CMPP-565",NA,NA,NA,NA,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33
"CMPP-566",NA,NA,NA,NA,NA,NA,NA,2.55,4.33,0.66,NA,NA,NA,NA,NA,NA,1,8.54
"CMPP-568",NA,NA,NA,NA,NA,NA,NA,1.07,0.35,0.66,NA,NA,NA,NA,NA,NA,NA,2.08
"CMPP-569",NA,NA,NA,NA,NA,NA,NA,0.74,0.5,NA,NA,NA,NA,NA,NA,NA,1,2.24
"CMPP-570",0.94,NA,NA,NA,NA,NA,NA,5.42,4.66,NA,NA,NA,NA,NA,NA,NA,NA,11.02
"CMPP-571",NA,NA,NA,NA,NA,NA,NA,0.59,0.42,NA,NA,NA,NA,NA,NA,NA,1,2.01
"CMPP-589A",NA,NA,NA,NA,NA,NA,NA,1.83,4.03,NA,NA,NA,NA,NA,NA,1.06,1,7.92
"CMPP-589B",0.94,NA,NA,NA,NA,NA,NA,5.42,4.31,NA,0.57,NA,NA,NA,NA,NA,1,12.24
"CMPP-592",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
"CNB-501A",NA,NA,NA,NA,0.53,NA,NA,0.59,0.42,NA,NA,NA,NA,NA,NA,NA,1,2.54
"CNB-501B",NA,NA,NA,NA,0.53,NA,NA,0.59,0.42,NA,NA,NA,NA,NA,NA,NA,1,2.54
"CNB-502",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,2,2.35
"CNB-503",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,2,2.35
"CNB-504",NA,NA,NA,0.4,1.32,NA,NA,0.59,0.84,NA,NA,NA,NA,NA,NA,1.38,1,5.53
"CNB-511A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CNB-511B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CNB-521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CNB-550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CNB-580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CNB-590",NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,1,1.48
"CNTV-101",NA,NA,NA,NA,NA,NA,NA,NA,3.55,NA,NA,NA,NA,NA,0.43,NA,NA,3.98
"CNTV-325",NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,0.48
"CNTV-332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CNTV-375",NA,NA,NA,NA,NA,NA,NA,1.23,3.83,NA,NA,NA,NA,NA,NA,NA,NA,5.06
"CNTV-392",NA,NA,NA,0.47,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA,NA,NA,NA,1.58
"CNTV-405",0.05,NA,NA,NA,NA,NA,NA,0.16,0.49,NA,NA,NA,NA,NA,NA,NA,NA,0.7
"CNTV-410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CNTV-411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CNTV-413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,NA,NA,0.79
"CNTV-415",NA,NA,NA,NA,NA,NA,NA,NA,1.59,NA,NA,NA,NA,NA,NA,NA,1,2.59
"CNTV-419",NA,NA,NA,NA,NA,NA,NA,0.82,0.48,NA,NA,NA,NA,NA,NA,NA,1,2.3
"CNTV-420",NA,NA,NA,NA,NA,NA,NA,1.33,1.4,NA,NA,NA,NA,NA,NA,NA,2,4.73
"CNTV-440",NA,NA,NA,NA,NA,NA,NA,0.82,3.21,NA,0.57,NA,NA,NA,NA,NA,NA,4.6
"CNTV-441",NA,NA,NA,NA,NA,NA,NA,0.82,4.38,NA,NA,NA,NA,NA,NA,NA,1,6.2
"CNTV-457",0.4,NA,NA,NA,NA,NA,NA,0.66,4.8,NA,NA,NA,NA,NA,NA,NA,1,6.86
"CNTV-458",NA,NA,NA,NA,NA,NA,NA,0.82,4.03,NA,NA,NA,NA,NA,NA,NA,NA,4.85
"CNTV-463",NA,NA,NA,NA,NA,NA,NA,0.82,2.64,NA,NA,NA,NA,NA,NA,NA,NA,3.46
"CNTV-467",NA,NA,NA,NA,NA,NA,NA,NA,6.42,NA,NA,0.07,NA,NA,NA,NA,NA,6.49
"CNTV-495",0.27,NA,NA,NA,NA,NA,NA,1.94,3.55,NA,NA,NA,NA,NA,NA,NA,NA,5.76
"CNTV-501",NA,NA,NA,0.13,NA,NA,NA,NA,4.59,NA,NA,0.14,NA,NA,NA,NA,2,6.86
"CNTV-521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CNTV-522",NA,NA,NA,NA,NA,NA,NA,0.82,4.9,NA,NA,0.07,NA,NA,NA,NA,NA,5.79
"CNTV-523",NA,NA,NA,NA,NA,NA,NA,2.3,1.4,NA,NA,0.07,NA,NA,NA,NA,NA,3.77
"CNTV-524",NA,NA,NA,NA,NA,NA,NA,NA,7.18,NA,NA,NA,NA,NA,NA,NA,NA,7.18
"CNTV-525",NA,NA,NA,NA,NA,NA,NA,1.23,4.03,NA,NA,0.72,NA,NA,1,NA,NA,6.98
"CNTV-530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA,0.07,NA,NA,0.36
"CNTV-590",NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,1,1.48
"CNTV-595",NA,NA,NA,NA,NA,NA,NA,0.59,3.97,NA,NA,NA,NA,NA,NA,NA,2,6.56
"COLT-101",NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,0.49,NA,NA,NA,NA,NA,NA,0.77
"COLT-102",NA,NA,NA,NA,NA,NA,NA,0.33,0.28,NA,0.65,NA,0.26,NA,NA,NA,1,2.52
"COLT-251",0.9,NA,NA,NA,NA,NA,NA,NA,0.28,NA,0.65,NA,0.39,NA,NA,NA,NA,2.22
"COLT-264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99,NA,NA,NA,NA,NA,1,3.99
"COLT-302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"COLT-303",0.31,NA,NA,NA,0.29,NA,1.14,5.83,2.85,5.28,1.14,0.93,40.29,NA,1.43,3.45,NA,62.94
"COLT-365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,1,1.49
"COLT-374",0.9,NA,NA,NA,7.46,NA,NA,NA,0.28,0.44,0.65,NA,NA,NA,NA,NA,NA,9.73
"COLT-375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,NA,NA,NA,NA,NA,NA,0.65
"COLT-420",NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,0.63
"COLT-462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,NA,NA,NA,NA,NA,NA,1.21
"COLT-475",0.9,NA,NA,NA,2.76,NA,NA,NA,0.28,0.27,NA,NA,0.39,NA,NA,3.37,NA,7.97
"COLT-510",NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,1,1.28
"COLT-511",0.22,NA,NA,0.4,1.52,NA,NA,NA,NA,3.06,1.22,NA,NA,NA,NA,0.49,NA,6.91
"COLT-620",0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14,NA,NA,NA,NA,1.03,1,4.07
"COMM-200",0.9,NA,NA,0.4,NA,NA,NA,NA,0.83,NA,NA,NA,NA,NA,NA,NA,NA,2.13
"COMM-204",NA,NA,NA,NA,NA,NA,NA,NA,1.73,NA,0.11,0.5,NA,NA,NA,0.11,NA,2.45
"COMM-205",NA,NA,NA,NA,NA,NA,NA,1.39,0.7,0.44,NA,NA,NA,NA,NA,NA,1,3.53
"COMM-206",NA,NA,NA,0.2,NA,NA,0.79,0.16,0.35,NA,1.87,NA,NA,NA,NA,NA,NA,3.37
"COMM-209",0.94,NA,NA,NA,NA,NA,NA,7,3.36,0.44,0.11,NA,NA,NA,NA,1.14,NA,12.99
"COMM-300",0.13,0.36,NA,NA,NA,NA,NA,0.74,0.77,NA,NA,0.71,NA,0.32,1.83,NA,NA,4.86
"COMM-301",NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,2,2.7
"COMM-302",0.9,NA,NA,NA,0.18,NA,NA,0.82,1.04,0.27,0.11,NA,NA,NA,NA,0.41,1,4.73
"COMM-304",NA,NA,NA,NA,NA,NA,NA,0.59,0.77,NA,NA,NA,NA,NA,NA,NA,1,2.36
"COMM-305",0.9,NA,NA,0.4,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,1,2.65
"COMM-306",0.9,NA,NA,NA,NA,NA,NA,1.39,5.76,NA,NA,0.43,NA,NA,NA,NA,1,9.48
"COMM-309",1.84,NA,NA,NA,NA,NA,NA,5.99,3.79,0.44,0.65,NA,NA,NA,NA,1.55,NA,14.26
"COMM-310",0.58,NA,NA,0.33,10.61,NA,NA,NA,NA,1.95,0.24,NA,NA,NA,NA,4.7,NA,18.41
"COMM-311",0.9,NA,NA,NA,NA,NA,NA,1.39,0.83,0.44,0.11,NA,NA,NA,NA,1.14,1,5.81
"COMM-312",NA,NA,NA,NA,NA,NA,NA,0.82,0.83,NA,0.49,NA,NA,NA,NA,NA,NA,2.14
"COMM-313",0.33,NA,NA,NA,NA,NA,NA,1.39,0.35,0.44,0.57,NA,NA,NA,NA,NA,1,4.08
"COMM-320",NA,NA,NA,0.6,NA,NA,NA,0.33,0.7,NA,NA,NA,NA,NA,NA,NA,NA,1.63
"COMM-321",0.9,NA,NA,NA,NA,NA,NA,2.57,0.35,NA,0.72,NA,NA,NA,NA,1.03,NA,5.57
"COMM-322",NA,NA,NA,NA,0.18,NA,NA,NA,0.42,0.71,NA,NA,NA,NA,NA,0.89,1,3.2
"COMM-324",1.26,NA,NA,10.72,NA,NA,NA,0.82,0.83,NA,1.14,NA,NA,NA,NA,NA,NA,14.77
"COMM-336",0.82,NA,NA,0.73,3.9,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,4.45,1,11.18
"COMM-339",NA,NA,NA,NA,NA,NA,NA,NA,2.16,NA,0.49,NA,NA,NA,NA,NA,NA,2.65
"COMM-340",NA,NA,NA,0.13,NA,NA,NA,0.57,5.91,NA,0.98,0.43,NA,NA,0.14,NA,1,9.16
"COMM-345",2.11,NA,NA,NA,NA,NA,NA,9.82,2.63,NA,NA,NA,0.39,NA,NA,2.72,NA,17.67
"COMM-355",1.27,NA,NA,0.2,NA,NA,NA,5.09,0.63,NA,0.57,NA,0.26,NA,NA,NA,NA,8.02
"COMM-363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"COMM-364",NA,NA,NA,NA,NA,NA,NA,NA,4.46,NA,NA,NA,NA,NA,NA,NA,1,5.46
"COMM-365",NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,2.37,NA,NA,NA,NA,NA,1,3.65
"COMM-366",0.9,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,0.39,NA,NA,NA,NA,1.99
"COMM-367",NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,0.24,NA,NA,NA,NA,NA,1,1.57
"COMM-371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA,NA,0.43,1.29,1,3.55
"COMM-375",NA,NA,NA,NA,NA,NA,NA,1.8,0.83,NA,NA,NA,NA,NA,NA,NA,NA,2.63
"COMM-380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"COMM-381",0.9,NA,NA,NA,0.18,NA,NA,NA,NA,0.27,NA,0.29,NA,NA,0.07,1.33,NA,3.04
"COMM-383",0.45,NA,NA,NA,9.97,NA,NA,NA,0.35,1.68,0.6,NA,NA,NA,NA,0.11,NA,13.16
"COMM-384",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,1.14,NA,NA,NA,NA,NA,NA,1.49
"COMM-385",NA,NA,NA,0.6,NA,NA,0.79,0.33,2.16,NA,0.49,NA,NA,NA,NA,NA,1,5.37
"COMM-387",0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,1.29
"COMM-391",NA,NA,NA,NA,NA,NA,NA,1.15,3.97,NA,1.56,0.43,NA,NA,NA,NA,NA,7.11
"COMM-392",0.13,0.14,NA,NA,NA,NA,NA,NA,NA,12,0.33,NA,NA,NA,NA,0.2,NA,12.8
"COMM-393",NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,2.37,NA,NA,NA,NA,NA,1,3.65
"COMM-395",0.45,NA,NA,NA,11.4,NA,NA,NA,0.35,1.68,0.76,NA,NA,NA,NA,0.11,NA,14.75
"COMM-396",NA,NA,NA,0.4,0.53,NA,NA,NA,0.35,0.27,0.49,NA,NA,NA,NA,0.3,NA,2.34
"COMM-400",NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,0.39,NA,NA,NA,2,3.09
"COMM-402",0.37,NA,NA,NA,NA,NA,NA,NA,1.18,NA,0.83,NA,NA,NA,NA,0.11,1,3.49
"COMM-405",NA,1.32,NA,NA,NA,NA,NA,NA,0.83,NA,0.65,NA,NA,NA,NA,NA,NA,2.8
"COMM-412",0.9,NA,NA,NA,2.76,NA,NA,0.41,0.35,1.06,NA,0.43,0.26,NA,NA,2.98,NA,9.15
"COMM-413",NA,NA,NA,NA,NA,NA,NA,1.72,NA,0.44,0.11,NA,0.26,NA,NA,0.11,1,3.64
"COMM-421",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,0.49,NA,NA,NA,NA,NA,NA,0.84
"COMM-422",0.27,NA,NA,NA,NA,NA,NA,0.92,3.03,NA,NA,NA,NA,NA,NA,NA,1,5.22
"COMM-427",0.33,NA,NA,NA,NA,NA,NA,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34
"COMM-429",2.66,NA,NA,NA,NA,NA,NA,6.65,3.81,NA,0.65,NA,NA,NA,NA,1.03,NA,14.8
"COMM-430",0.94,NA,NA,NA,NA,NA,NA,4.93,1.87,NA,0.65,NA,0.26,NA,NA,1.03,NA,9.68
"COMM-431",0.36,NA,NA,NA,NA,NA,NA,1.97,4.11,NA,NA,NA,0.26,NA,NA,NA,NA,6.7
"COMM-434",NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,0.49,NA,NA,NA,NA,1.08,NA,1.85
"COMM-443",1.27,NA,NA,NA,NA,NA,NA,NA,2.46,NA,NA,NA,NA,NA,NA,NA,NA,3.73
"COMM-444",1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,NA,2.06
"COMM-450",0.31,NA,NA,0.4,0.29,NA,NA,0.82,2.16,0.44,1.06,NA,0.26,NA,NA,NA,NA,5.74
"COMM-451",0.9,NA,NA,NA,NA,NA,NA,0.33,0.63,NA,NA,NA,0.65,NA,NA,NA,NA,2.51
"COMM-454",1.03,NA,NA,NA,NA,NA,NA,2.22,0.83,0.66,0.49,NA,NA,NA,NA,NA,NA,5.23
"COMM-457",0.9,NA,NA,0.4,0.35,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,2.14
"COMM-458",0.9,NA,NA,NA,0.53,NA,NA,NA,3.08,0.62,NA,NA,NA,NA,NA,NA,NA,5.13
"COMM-465",0.45,NA,NA,NA,9.97,NA,NA,NA,3.56,1.68,0.65,NA,NA,NA,NA,NA,NA,16.31
"COMM-480",NA,NA,NA,NA,NA,0.47,0.38,1.68,0.35,NA,NA,3.03,2.54,0.39,1.79,NA,1,11.63
"COMM-487",NA,NA,NA,NA,NA,NA,NA,0.33,1.67,NA,NA,NA,0.26,NA,NA,NA,NA,2.26
"COMM-489",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,1.03,NA,1.38
"COMM-494",NA,NA,NA,NA,NA,NA,NA,1.39,1.18,0.44,NA,NA,NA,NA,NA,NA,2,5.01
"COMM-495",0.22,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,2,2.92
"COMM-497",NA,NA,NA,NA,NA,NA,NA,1.39,NA,0.44,NA,NA,NA,NA,NA,NA,2,3.83
"COMM-498",0.9,NA,NA,NA,NA,NA,NA,NA,2.16,NA,NA,0.29,NA,NA,0.07,1.03,NA,4.45
"COMM-502",0.9,0.71,NA,NA,NA,NA,NA,0.82,2.01,NA,NA,NA,NA,NA,NA,NA,2,6.44
"COMM-509",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0.35
"COMM-525",0.9,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,1,2.25
"COMM-526",0.9,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,1,2.25
"COMM-550",NA,NA,NA,NA,NA,NA,NA,NA,1.18,NA,NA,NA,NA,NA,NA,NA,1,2.18
"COMM-552",0.05,NA,NA,NA,NA,NA,NA,0.16,0.49,NA,NA,NA,NA,NA,NA,NA,1,1.7
"COMM-559",1.34,NA,NA,NA,0.29,NA,NA,0.82,2.16,0.44,0.65,NA,0.26,NA,NA,1.03,NA,6.99
"COMM-576",0.27,NA,NA,0.13,0.18,NA,NA,0.33,0.28,0.27,0.44,NA,NA,NA,0.14,0.93,NA,2.97
"COMM-580",NA,NA,NA,NA,0.18,NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA,1.33,NA,1.78
"COMM-585",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,1,1.35
"COMM-598",NA,NA,NA,NA,NA,NA,NA,0.92,1.25,NA,NA,NA,0.26,NA,NA,NA,3,5.43
"COMM-602",NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,0.65,NA,0.39,NA,NA,NA,1,2.32
"COMM-612",0.73,NA,NA,NA,NA,NA,NA,0.33,0.35,0.88,NA,NA,NA,NA,NA,NA,NA,2.29
"COMM-620",NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,1,1.7
"COMM-647",0.49,NA,NA,NA,0.18,NA,NA,3.03,2.51,0.71,1.14,NA,NA,NA,NA,0.3,2,10.36
"COMM-650",NA,NA,NA,NA,1.58,NA,NA,NA,0.42,0.8,NA,NA,NA,NA,NA,NA,NA,2.8
"COMM-653",0.9,NA,NA,0.33,NA,NA,NA,NA,0.42,0.44,0.24,NA,0.39,NA,NA,1.11,2,5.83
"COMM-654",0.13,NA,NA,NA,NA,NA,NA,NA,NA,0.53,0.65,NA,NA,NA,NA,NA,NA,1.31
"COMM-670",1.3,NA,NA,NA,NA,NA,NA,6.24,0.28,NA,0.49,NA,NA,NA,NA,NA,NA,8.31
"CORE-101",NA,NA,NA,NA,0.59,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,1,2.69
"CORE-102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,0.49
"CORE-103",NA,NA,NA,0.4,NA,NA,NA,0.59,0.42,NA,NA,NA,0.39,NA,NA,NA,1,2.8
"CORE-104",0.9,NA,NA,NA,NA,NA,NA,NA,0.14,NA,0.72,0.07,0.39,NA,NA,1.03,NA,3.25
"CORE-111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"CORE-112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"CORE-195",0.9,NA,NA,6.51,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,0.14,NA,1,8.69
"CORE-200",NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.47
"CORE-301",NA,NA,NA,0.2,NA,NA,NA,0.16,0.56,NA,0.65,0.14,NA,NA,0.14,NA,NA,1.85
"CORE-400",NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,2,2.28
"CORE-401",NA,NA,NA,0.6,NA,NA,NA,0.33,NA,NA,0.65,0.29,NA,NA,0.07,NA,NA,1.94
"CORE-450",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,1,1.35
"CORE-601",NA,NA,NA,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.66
